"Date (+01)","Instrument","Order ID","Side","Type","Total","Executed","Price","Status"
"2018-02-15 6:21:57","BCN/BTC","17316963218","sell","limit","5000","1400","0.0000005675","filled"
"2018-02-15 5:57:32","BCN/BTC","17313890599","sell","limit","5000","1000","0.0000005675","filled"
"2018-02-15 5:59:09","BCN/BTC","17314090899","sell","limit","5000","0","0.0000005676","canceled"
"2018-02-15 5:59:02","BCN/BTC","17314076626","sell","limit","5000","0","0.0000005677","canceled"
"2018-02-15 5:58:56","BCN/BTC","17314065510","sell","limit","5000","0","0.0000005678","canceled"
"2018-02-15 5:58:50","BCN/BTC","17314052405","sell","limit","5000","0","0.0000005679","canceled"
"2018-02-15 5:58:44","BCN/BTC","17314040046","sell","limit","5000","0","0.0000005680","canceled"
"2018-02-15 5:58:38","BCN/BTC","17314027585","sell","limit","5000","0","0.0000005681","canceled"
"2018-02-15 5:58:32","BCN/BTC","17314016699","sell","limit","5000","0","0.0000005682","canceled"
"2018-02-15 5:58:26","BCN/BTC","17314005389","sell","limit","5000","0","0.0000005683","canceled"
"2018-02-15 5:58:20","BCN/BTC","17313993552","sell","limit","5000","0","0.0000005684","canceled"
"2018-02-15 5:58:14","BCN/BTC","17313980753","sell","limit","5000","0","0.0000005685","canceled"
"2018-02-15 5:58:08","BCN/BTC","17313966682","sell","limit","5000","0","0.0000005686","canceled"
"2018-02-15 5:58:02","BCN/BTC","17313953374","sell","limit","5000","0","0.0000005687","canceled"
"2018-02-15 5:57:56","BCN/BTC","17313941582","sell","limit","5000","0","0.0000005688","canceled"
"2018-02-15 5:57:50","BCN/BTC","17313927507","sell","limit","5000","0","0.0000005689","canceled"
"2018-02-15 5:57:44","BCN/BTC","17313914011","sell","limit","5000","0","0.0000005690","canceled"
"2018-02-15 5:57:38","BCN/BTC","17313903117","sell","limit","1000","0","0.0000005691","canceled"
"2018-02-15 5:57:24","BCN/BTC","17313873808","sell","limit","5000","1400","0.0000005675","filled"
"2018-02-15 5:56:45","BCN/BTC","17313799948","sell","limit","5000","4900","0.0000005675","filled"
"2018-02-15 5:55:30","BCN/BTC","17313661077","sell","limit","5000","0","0.0000005690","canceled"
"2018-02-15 5:55:23","BCN/BTC","17313646062","sell","limit","5000","0","0.0000005689","canceled"
